id,name,category_id,created_time,featured,profile_pic
52,Team Guard SRL 3,7,2018-09-22 15:17:33Z,FALSE,/media/image/store_logos/webtoon_logo.jpg
53,UPC 5,7,2020-04-05 02:25:49Z,FALSE,/media/image/store_logos/Xiaomi_logo.png
54,Danone 2,7,2019-10-12 21:46:23Z,TRUE,/media/image/store_logos/zappos_logo.jpg
55,ENEL 1,7,2020-07-25 14:09:05Z,TRUE,/media/image/store_logos/apple_logo.png
56,21st Century Fox 2,8,2020-08-05 08:01:29Z,FALSE,/media/image/store_logos/birkenstock_logo.png
57,Apple Inc.,8,2020-10-23 16:27:01Z,FALSE,/media/image/store_logos/canon_logo.jpg
58,Biolife Grup 2,8,2020-11-12 00:40:57Z,FALSE,/media/image/store_logos/dermalogica_logo.png
59,Boeing 3,8,2018-10-07 05:54:05Z,FALSE,/media/image/store_logos/floralpunk_logo.png
60,Carrefour 1,8,2019-08-17 11:20:12Z,FALSE,/media/image/store_logos/hp_logo.png
61,Comodo 1,8,2018-08-22 17:10:27Z,FALSE,/media/image/store_logos/jabra_logo.png
62,Danone 3,8,2018-08-08 02:11:08Z,FALSE,/media/image/store_logos/jordan_logo.png
63,Demaco 2,8,2021-04-16 06:13:38Z,FALSE,/media/image/store_logos/larocheposay_logo.png
64,ENEL 4,8,2020-03-31 12:22:48Z,FALSE,/media/image/store_logos/lenovo_logo.png
65,Mars 2,8,2020-06-15 15:40:29Z,FALSE,/media/image/store_logos/nike_logo.jpg
66,Metro Cash&Carry 2,8,2018-07-21 14:56:29Z,FALSE,/media/image/store_logos/paula_choice_logo.jpg
67,UPC 4,8,2020-08-12 13:00:55Z,TRUE,/media/image/store_logos/samsung_logo.png
68,BuzzFeed 1,8,2019-02-10 03:05:26Z,TRUE,/media/image/store_logos/sephora_logo.jpg
69,CarMax 1,8,2019-07-23 19:03:27Z,TRUE,/media/image/store_logos/viettel_logo.jpg
70,Mars 1,8,2020-02-10 02:38:47Z,TRUE,/media/image/store_logos/webtoon_logo.jpg
71,Areon Impex 2,9,2019-12-22 17:53:51Z,FALSE,/media/image/store_logos/Xiaomi_logo.png
72,It Smart Group 4,9,2018-07-17 17:45:39Z,FALSE,/media/image/store_logos/zappos_logo.jpg
73,Vodafone 2,9,2019-05-07 03:00:43Z,FALSE,/media/image/store_logos/apple_logo.png
74,Zepter 3,9,2019-09-11 15:19:26Z,FALSE,/media/image/store_logos/birkenstock_logo.png
75,Coca-Cola Company 3,10,2018-08-01 06:12:30Z,FALSE,/media/image/store_logos/canon_logo.jpg
76,Comodo 5,10,2018-11-13 02:29:13Z,FALSE,/media/image/store_logos/dermalogica_logo.png
77,Facebook 2,10,2020-07-21 00:15:20Z,FALSE,/media/image/store_logos/floralpunk_logo.png
78,Global Print 2,10,2020-05-07 17:31:08Z,FALSE,/media/image/store_logos/hp_logo.png
79,It Smart Group 2,10,2020-02-23 15:49:22Z,FALSE,/media/image/store_logos/jabra_logo.png
80,Danone 1,10,2018-08-09 01:45:38Z,TRUE,/media/image/store_logos/jordan_logo.png
81,Amazon.com 3,11,2018-06-07 16:46:48Z,FALSE,/media/image/store_logos/larocheposay_logo.png
82,CarMax 2,11,2020-08-08 06:55:47Z,FALSE,/media/image/store_logos/lenovo_logo.png
83,Facebook 1,11,2019-06-18 03:26:13Z,FALSE,/media/image/store_logos/nike_logo.jpg
84,Facebook 3,11,2020-10-15 01:01:06Z,FALSE,/media/image/store_logos/paula_choice_logo.jpg
85,Metro Cash&Carry 4,11,2020-03-10 10:52:45Z,FALSE,/media/image/store_logos/samsung_logo.png
86,Vodafone 1,11,2019-09-30 08:58:06Z,FALSE,/media/image/store_logos/sephora_logo.jpg
87,Team Guard SRL 1,11,2021-03-11 15:12:53Z,TRUE,/media/image/store_logos/viettel_logo.jpg
88,UPC 1,11,2020-01-08 17:56:04Z,FALSE,/media/image/store_logos/webtoon_logo.jpg
89,AECOM 2,12,2018-12-04 16:49:42Z,FALSE,/media/image/store_logos/Xiaomi_logo.png
90,AECOM 3,12,2019-01-04 06:02:39Z,FALSE,/media/image/store_logos/zappos_logo.jpg
91,AECOM 5,12,2018-10-30 06:10:37Z,FALSE,/media/image/store_logos/apple_logo.png
92,Amazon.com 1,12,2021-05-06 05:14:57Z,FALSE,/media/image/store_logos/birkenstock_logo.png
93,Comodo 3,12,2021-01-19 17:56:39Z,FALSE,/media/image/store_logos/canon_logo.jpg
94,Comodo 8,12,2020-06-24 09:09:58Z,FALSE,/media/image/store_logos/dermalogica_logo.png
95,It Smart Group 3,13,2018-08-11 20:34:36Z,FALSE,/media/image/store_logos/floralpunk_logo.png
96,Leadertech Consulting 2,13,2020-06-06 19:03:12Z,FALSE,/media/image/store_logos/hp_logo.png
97,Metro Cash&Carry 1,13,2021-03-02 13:40:36Z,FALSE,/media/image/store_logos/jabra_logo.png
98,Team Guard SRL 2,13,2019-10-14 00:10:41Z,FALSE,/media/image/store_logos/jordan_logo.png
99,UPC 2,13,2018-09-11 21:15:18Z,FALSE,/media/image/store_logos/larocheposay_logo.png
100,Zepter 4,13,2021-04-08 18:50:22Z,TRUE,/media/image/store_logos/lenovo_logo.png
